,group,image size,elapsed_time (min:sec),avg. direction,std. deviation,abs. deviation
20240507 fkt19 P2 CTR R1.2 deblurr_z057c1,CTR,"(1920, 1920, 3)",0:06,3.395,47.017,39.457
20240507 fkt19 P2 CTR R1.2 deblurr_z058c1,CTR,"(1920, 1920, 3)",0:07,2.614,47.043,39.449
20240507 fkt19 P2 CTR R1.2 deblurr_z059c1,CTR,"(1920, 1920, 3)",0:07,3.466,46.961,39.352
20240507 fkt19 P2 CTR R1.2 deblurr_z067c1,CTR,"(1920, 1920, 3)",0:07,5.446,46.55,38.822
20240507 fkt19 P2 CTR R1.2 deblurr_z073c1,CTR,"(1920, 1920, 3)",0:07,6.009,46.293,38.513
20240507 fkt19 P2 CTR R1.4-Deblurring_z22c1,CTR,"(1920, 1920, 3)",0:06,-2.124,45.365,37.95
20240507 fkt19 P2 CTR R1.4-Deblurring_z27c1,CTR,"(1920, 1920, 3)",0:07,-1.411,46.181,38.853
20240507 fkt19 P2 CTR R1.4-Deblurring_z28c1,CTR,"(1920, 1920, 3)",0:07,0.069,46.399,39.006
20240507 fkt19 P2 CTR R1.4-Deblurring_z30c1,CTR,"(1920, 1920, 3)",0:07,0.326,46.443,39.123
20240507 fkt19 P2 CTR R1.4-Deblurring_z31c1,CTR,"(1920, 1920, 3)",0:07,1.061,46.339,38.977
20240507 fkt19 P2 CTR R2_2-Deblurring-Channel Alignment-07_z082c1,CTR,"(1920, 1920, 3)",0:07,31.256,41.249,32.492
20240507 fkt19 P2 CTR R2_2-Deblurring-Channel Alignment-07_z083c1,CTR,"(1920, 1920, 3)",0:07,31.745,41.223,32.493
20240507 fkt19 P2 CTR R2_2-Deblurring-Channel Alignment-07_z091c1,CTR,"(1920, 1920, 3)",0:07,32.672,40.575,31.743
20240507 fkt19 P2 CTR R2_2-Deblurring-Channel Alignment-07_z101c1,CTR,"(1920, 1920, 3)",0:07,34.903,41.483,32.511
20240507 fkt19 P2 CTR R2_2-Deblurring-Channel Alignment-07_z104c1,CTR,"(1920, 1920, 3)",0:07,36.342,42.269,33.154
20240507 fkt19 P2 CTR R2_3-Deblurring-05_z061c1,CTR,"(1920, 1920, 3)",0:07,30.528,44.537,36.149
20240507 fkt19 P2 CTR R2_3-Deblurring-05_z064c1,CTR,"(1920, 1920, 3)",0:07,30.691,44.019,35.582
20240507 fkt19 P2 CTR R2_3-Deblurring-05_z078c1,CTR,"(1920, 1920, 3)",0:07,32.019,41.243,32.63
20240507 fkt19 P2 CTR R2_3-Deblurring-05_z084c1,CTR,"(1920, 1920, 3)",0:07,31.906,41.412,32.844
20240507 fkt19 P2 CTR R2_3-Deblurring-05_z113c1,CTR,"(1920, 1920, 3)",0:07,35.701,42.357,33.486
20240507 fkt19 P2 CTR R3_2-Deblurring-12_z28c1,CTR,"(1920, 1920, 3)",0:07,3.145,42.879,35.032
20240507 fkt19 P2 CTR R3_2-Deblurring-12_z51c1,CTR,"(1920, 1920, 3)",0:07,12.432,39.025,30.671
20240507 fkt19 P2 CTR R3_2-Deblurring-12_z64c1,CTR,"(1920, 1920, 3)",0:07,15.835,38.804,30.45
20240507 fkt19 P2 CTR R3_2-Deblurring-12_z76c1,CTR,"(1920, 1920, 3)",0:07,18.188,39.054,30.447
20240507 fkt19 P2 CTR R3_2-Deblurring-12_z86c1,CTR,"(1920, 1920, 3)",0:07,22.089,40.796,32.238
20240507 fkt19 P2 CTR R3_3-Deblurring-13_z38c1,CTR,"(1920, 1920, 3)",0:07,15.659,38.886,30.528
20240507 fkt19 P2 CTR R3_3-Deblurring-13_z67c1,CTR,"(1920, 1920, 3)",0:07,21.865,37.461,28.76
20240507 fkt19 P2 CTR R3_3-Deblurring-13_z76c1,CTR,"(1920, 1920, 3)",0:07,25.049,39.015,30.28
20240507 fkt19 P2 CTR R3_3-Deblurring-13_z82c1,CTR,"(1920, 1920, 3)",0:07,25.384,40.032,31.326
20240507 fkt19 P2 CTR R3_3-Deblurring-13_z84c1,CTR,"(1920, 1920, 3)",0:07,25.787,40.791,32.122
20240507 fkt19 P2 MS R1-Deblurring-21_z112c1,MS,"(1920, 1920, 3)",0:07,-8.051,44.35,36.758
20240507 fkt19 P2 MS R1-Deblurring-21_z113c1,MS,"(1920, 1920, 3)",0:07,-7.864,44.422,36.788
20240507 fkt19 P2 MS R1-Deblurring-21_z119c1,MS,"(1920, 1920, 3)",0:07,-7.46,43.949,36.221
20240507 fkt19 P2 MS R1-Deblurring-21_z121c1,MS,"(1920, 1920, 3)",0:07,-6.995,44.158,36.463
20240507 fkt19 P2 MS R1-Deblurring-21_z136c1,MS,"(1920, 1920, 3)",0:07,-9.532,44.076,36.384
20240507 fkt19 P2 MS R1_3-Deblurring-20_z028c1,MS,"(1920, 1920, 3)",0:08,-7.089,43.549,35.797
20240507 fkt19 P2 MS R1_3-Deblurring-20_z038c1,MS,"(1920, 1920, 3)",0:07,-6.709,42.802,34.994
20240507 fkt19 P2 MS R1_3-Deblurring-20_z053c1,MS,"(1920, 1920, 3)",0:07,-7.967,41.815,34.1
20240507 fkt19 P2 MS R1_3-Deblurring-20_z076c1,MS,"(1920, 1920, 3)",0:07,-15.199,44.344,36.9
20240507 fkt19 P2 MS R1_3-Deblurring-20_z083c1,MS,"(1920, 1920, 3)",0:08,-14.408,45.002,37.583
20240507 fkt19 P2 MS R2-Deblurring-24_z05c1,MS,"(1920, 1920, 3)",0:13,-3.872,47.545,40.358
20240507 fkt19 P2 MS R2-Deblurring-24_z36c1,MS,"(1920, 1920, 3)",0:08,-2.789,46.141,38.747
20240507 fkt19 P2 MS R2-Deblurring-24_z50c1,MS,"(1920, 1920, 3)",0:08,-2.865,44.589,37.14
20240507 fkt19 P2 MS R2-Deblurring-24_z56c1,MS,"(1920, 1920, 3)",0:08,-0.79,44.498,36.918
20240507 fkt19 P2 MS R2-Deblurring-24_z79c1,MS,"(1920, 1920, 3)",0:07,2.223,44.474,36.849
20240507 fkt19 P2 MS R2_3-Deblurring-23_z78c1,MS,"(1920, 1920, 3)",0:06,16.746,45.091,37.205
20240507 fkt19 P2 MS R2_3-Deblurring-23_z83c1,MS,"(1920, 1920, 3)",0:07,17.592,45.666,37.707
20240507 fkt19 P2 MS R2_3-Deblurring-23_z89c1,MS,"(1920, 1920, 3)",0:06,18.472,46.507,38.731
20240507 fkt19 P2 MS R2_3-Deblurring-23_z94c1,MS,"(1920, 1920, 3)",0:06,18.221,47.727,40.156
20240507 fkt19 P2 MS R2_3-Deblurring-23_z98c1,MS,"(1920, 1920, 3)",0:06,20.12,48.253,40.728
20240507 fkt19 P2 MS R3_2-Deblurring-25_z068c1,MS,"(1920, 1920, 3)",0:06,-16.261,43.173,35.356
20240507 fkt19 P2 MS R3_2-Deblurring-25_z084c1,MS,"(1920, 1920, 3)",0:07,-17.719,42.488,34.61
20240507 fkt19 P2 MS R3_2-Deblurring-25_z089c1,MS,"(1920, 1920, 3)",0:07,-17.867,42.786,35.008
20240507 fkt19 P2 MS R3_2-Deblurring-25_z109c1,MS,"(1920, 1920, 3)",0:07,-15.231,43.073,35.608
20240507 fkt19 P2 MS R3_2-Deblurring-25_z115c1,MS,"(1920, 1920, 3)",0:06,-15.764,43.61,36.236
20240507 fkt19 P2 MS R3_3-Deblurring-26_z01c1,MS,"(1920, 1920, 3)",0:06,-15.019,46.542,39.02
20240507 fkt19 P2 MS R3_3-Deblurring-26_z06c1,MS,"(1920, 1920, 3)",0:06,-14.661,46.05,38.418
20240507 fkt19 P2 MS R3_3-Deblurring-26_z18c1,MS,"(1920, 1920, 3)",0:06,-14.778,45.011,37.308
20240507 fkt19 P2 MS R3_3-Deblurring-26_z35c1,MS,"(1920, 1920, 3)",0:07,-12.658,44.131,36.345
20240507 fkt19 P2 MS R3_3-Deblurring-26_z50c1,MS,"(1920, 1920, 3)",0:07,-9.486,43.675,35.942
